id,title,public_type,specific_type,decision,confidence,current_subjects,proposed_subjects,add,remove,taxonomy_gap,rationale,summary,source_path
william-s-burroughs,William S. Burroughs,person,person,retain,high,language|sound,language|sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","American writer; the cut-up method, tape-recorder experiments, and language as a control system.",content/library/person/william-s-burroughs/index.md
wolfgang-palm,Wolfgang Palm,person,person,change,medium,instruments,computation|sound|instruments|memory,computation|sound|memory,,,"Adds Computation, Sound, Memory because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; storage, recording, retention, recall, or past state affecting future behavior.","German inventor of wavetable synthesis, founder of PPG.",content/library/person/wolfgang-palm/index.md
eliane-radigue,Éliane Radigue,person,person,retain,high,time|sound|perception,time|sound|perception,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",French composer of slowly evolving electronic and acoustic drone music.,content/library/person/eliane-radigue/index.md
bregman-electronic-music-studio,Bregman Electronic Music Studio,place,place,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Dartmouth College's electronic music studio, directed by Jon Appleton, where the Synclavier was later developed.",content/library/place/bregman-electronic-music-studio/index.md
ems-putney,EMS Putney,place,place,retain,high,sound|computation|instruments,sound|computation|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Peter Zinovieff's home studio in Putney, London, founded 1965, running the MUSYS computer music system.",content/library/place/ems-putney/index.md
espace-de-projection,Espace de Projection,place,place,retain,high,sound|space,sound|space,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","IRCAM's variable-acoustic concert hall, designed by Renzo Piano.",content/library/place/espace-de-projection/index.md
grm-studios,GRM Studios,place,place,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","The Groupe de Recherches Musicales' production facilities in Paris, including Studio 54.",content/library/place/grm-studios/index.md
ircam-studios,IRCAM Studios,place,place,retain,high,sound|computation,sound|computation,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",IRCAM's production and research studios beneath the Centre Pompidou in Paris.,content/library/place/ircam-studios/index.md
maida-vale-studios,Maida Vale Studios,place,place,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","BBC studio complex in London, home to the Radiophonic Workshop from 1958.",content/library/place/maida-vale-studios/index.md
philips-research-laboratories-electronic-music-studio,Philips Research Laboratories Electronic Music Studio,place,place,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Eindhoven facility where Varèse realized Poème électronique for the 1958 Philips Pavilion.,content/library/place/philips-research-laboratories-electronic-music-studio/index.md
prentis-hall,Prentis Hall,place,place,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Columbia University building on 125th Street that housed the Columbia-Princeton Electronic Music Center's studios.,content/library/place/prentis-hall/index.md
studio-54-du-grm,Studio 54 du GRM,place,place,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",The GRM's principal mixing and mastering studio in Paris.,content/library/place/studio-54-du-grm/index.md
tower-folly,Tower Folly,place,place,retain,high,sound|space,sound|space,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Converted oast house in Fairseat, Kent, housing Daphne Oram's independent studio from 1959.",content/library/place/tower-folly/index.md
adrenalinn,AdrenaLinn,system,hardware,change,medium,sound|instruments,time|computation|sound|instruments,time|computation,,,"Adds Time, Computation because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; algorithms, programming, formal processing, or machine computation.","Digital multi-effects unit combining a drum machine and amp modeler, designed by Roger Linn with Dave Smith and Tom Oberheim.",content/library/system/adrenalinn/index.md
akai-mpc60,Akai MPC60,system,instrument,change,review,sound|instruments|computation,time|computation|sound|instruments|memory,time|memory,,,"Adds Time, Memory because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; storage, recording, retention, recall, or past state affecting future behavior.","1988 integrated sampler, drum machine, and MIDI sequencer designed by Roger Linn for Akai, foundational to hip-hop production.",content/library/system/akai-mpc60/index.md
ans-synthesizer,ANS synthesizer,system,instrument,change,high,sound|computation,sound|tuning|instruments,tuning|instruments,computation,,"The entry describes electronic production or studio work but not algorithms, programming, formal processing, a computational model, or machine computation as a substantial concern.","A Soviet photoelectronic instrument that generates sound by scratching microtonal tracks directly onto rotating glass discs, read optically.",content/library/system/ans-synthesizer/index.md
arp-2500,ARP 2500,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","ARP's first synthesizer, introduced in 1970 and notable for its pitch stability.",content/library/system/arp-2500/index.md
arp-2600,ARP 2600,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","ARP's 1971 semi-modular synthesizer, successor to the 2500.",content/library/system/arp-2600/index.md
bela,Bela,system,hardware,change,high,instruments,computation|instruments,computation,,,"Adds Computation because the record explicitly concerns algorithms, programming, formal processing, or machine computation.","Ultra-low-latency embedded audio and sensor platform, built on the BeagleBone Black.",content/library/system/bela/index.md
bela-gem,Bela Gem,system,hardware,change,high,instruments,computation|instruments,computation,,,"Adds Computation because the record explicitly concerns algorithms, programming, formal processing, or machine computation.","2025 stereo audio/sensor add-on board for the PocketBeagle 2, successor to the original Bela.",content/library/system/bela-gem/index.md
bela-gem-multi,Bela Gem Multi,system,hardware,change,high,instruments,computation|instruments,computation,,,"Adds Computation because the record explicitly concerns algorithms, programming, formal processing, or machine computation.","10-in/10-out variant of Bela Gem, for more complex multichannel audio projects.",content/library/system/bela-gem-multi/index.md
buchla-100,Buchla 100,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Don Buchla's modular voltage-controlled synthesizer, commissioned by the San Francisco Tape Music Center in the early 1960s.",content/library/system/buchla-100/index.md
c-language,C,system,language,change,high,computation,computation|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","General-purpose programming language, developed at Bell Labs in the early 1970s.",content/library/system/c-language/index.md
cpp-language,C++,system,language,change,high,computation,computation|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.",General-purpose programming language extending C with object-oriented features.,content/library/system/cpp-language/index.md
cmusic,Cmusic,system,language,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.",A MUSIC-N-descended computer music language written in C by F. Richard Moore at UCSD.,content/library/system/cmusic/index.md
csound,Csound,system,software,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","Barry Vercoe's 1985 sound synthesis programming language, descended from the MUSIC-N lineage.",content/library/system/csound/index.md
dec-pdp-10,DEC PDP-10,system,hardware,retain,high,computation,computation,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Digital Equipment Corporation mainframe used across early computer music research, including at Stanford's CCRMA.",content/library/system/dec-pdp-10/index.md
din-sync,DIN sync,system,protocol,retain,high,instruments|time,instruments|time,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","A hardware clock and start/stop protocol for synchronizing drum machines and sequencers, carried over a DIN connector.",content/library/system/din-sync/index.md
e-mu-emulator-ii,E-mu Emulator II,system,instrument,change,medium,instruments,computation|sound|instruments|memory,computation|sound|memory,,,"Adds Computation, Sound, Memory because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; storage, recording, retention, recall, or past state affecting future behavior.",E-mu Systems' 1984 sampling keyboard.,content/library/system/e-mu-emulator-ii/index.md
ems-synthi-100,EMS Synthi 100,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","EMS's large-format 1971 synthesizer, produced in only 30 units.",content/library/system/ems-synthi-100/index.md
ems-synthi-a,EMS Synthi A,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","EMS's 1971 portable synthesizer, the VCS3 circuit repackaged into a briefcase — not the large-format Synthi 100.",content/library/system/ems-synthi-a/index.md
ems-synthi-aks,EMS Synthi AKS,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Portable EMS synthesizer combining the VCS3 circuit with a built-in sequencer and touch keyboard.,content/library/system/ems-synthi-aks/index.md
ems-vcs3,EMS VCS3,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","EMS's 1969 portable synthesizer, among the first commercially available.",content/library/system/ems-vcs3/index.md
ensoniq-esq-1,Ensoniq ESQ-1,system,instrument,change,medium,computation|sound|instruments,time|computation|sound|instruments,time,,,"Adds Time because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence.","Ensoniq's 1986 hybrid synthesizer/sequencer — digital wavetable oscillators through analog filters, multitimbral, and affordable.",content/library/system/ensoniq-esq-1/index.md
ensoniq-mirage,Ensoniq Mirage,system,instrument,retain,high,computation|sound|memory|instruments,computation|sound|memory|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Ensoniq's 1984 sampling keyboard, priced an order of magnitude below the Fairlight and Emulator, that made digital sampling affordable.",content/library/system/ensoniq-mirage/index.md
eventide-h3000,Eventide H3000,system,hardware,change,high,instruments,computation|sound|instruments,computation|sound,,Signal,"Adds Computation, Sound because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice.","Eventide's digital multi-effects Harmonizer, a later stage in the H910/H949 lineage.",content/library/system/eventide-h3000/index.md
eventide-h910,Eventide H910 Harmonizer,system,hardware,change,high,instruments,computation|sound|instruments,computation|sound,,Signal,"Adds Computation, Sound because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice.","Eventide's 1975 pitch-shifting processor, the first Harmonizer.",content/library/system/eventide-h910/index.md
eventide-h949,Eventide H949 Harmonizer,system,hardware,change,high,instruments,computation|sound|instruments,computation|sound,,Signal,"Adds Computation, Sound because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice.",Eventide's successor to the H910 Harmonizer.,content/library/system/eventide-h949/index.md
eventide-sp2016,Eventide SP2016,system,hardware,change,medium,instruments,computation|sound|instruments|space,computation|sound|space,,,"Adds Computation, Sound, Space because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; spatial organization, geometry, environments, distribution, or spatialization.","Eventide's 1982 signal processor, the first programmable hardware effects unit.",content/library/system/eventide-sp2016/index.md
fairlight-cmi,Fairlight CMI,system,instrument,change,medium,instruments,computation|sound|instruments|memory,computation|sound|memory,,,"Adds Computation, Sound, Memory because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; storage, recording, retention, recall, or past state affecting future behavior.","The first polyphonic digital sampling synthesizer, released 1979.",content/library/system/fairlight-cmi/index.md
groove-system,GROOVE,system,software,change,medium,computation|sound,time|computation|sound|instruments,time|instruments,,,"Adds Time, Instruments because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; instrument design, interfaces, controllers, apparatus, or instrumentality.",Max Mathews's 1970 system for real-time computer control of analog synthesizers.,content/library/system/groove-system/index.md
korg-monopoly,Korg Mono/Poly,system,instrument,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Korg's 1981 four-oscillator analog synth, switchable between four-note polyphony and massed-unison mono leads.",content/library/system/korg-monopoly/index.md
korg-ms-20,Korg MS-20,system,instrument,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Korg's 1978 patchable monophonic analog synth, known for its aggressive, near-self-oscillating dual filters.",content/library/system/korg-ms-20/index.md
korg-polysix,Korg Polysix,system,instrument,change,high,sound|instruments,sound|instruments|memory,memory,,,"Adds Memory because the record explicitly concerns storage, recording, retention, recall, or past state affecting future behavior.","Korg's 1981 six-voice analog polysynth with built-in chorus and onboard patch memory, priced at a fraction of its rivals.",content/library/system/korg-polysix/index.md
korg-ps-3x00,Korg PS-3100 / PS-3200 / PS-3300,system,instrument,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Korg's late-1970s PS series — among the first fully polyphonic analog synthesizers, with independent filter, envelope, and amplifier circuits per key.",content/library/system/korg-ps-3x00/index.md
korg-wavestation,Korg Wavestation,system,instrument,change,medium,computation|sound|instruments,time|computation|sound|instruments,time,,,"Adds Time because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence.",Korg's 1990 digital synth built around Wave Sequencing — stepping and crossfading through a sequence of waveforms to create continuously evolving timbres.,content/library/system/korg-wavestation/index.md
kyma,Kyma,system,software,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","Sound design language treating every level of a composition, from single timbre to whole piece, as a composable object.",content/library/system/kyma/index.md
lexicon-224,Lexicon 224,system,hardware,change,medium,instruments,computation|sound|instruments|space,computation|sound|space,,,"Adds Computation, Sound, Space because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; spatial organization, geometry, environments, distribution, or spatialization.","Lexicon's 1978 digital reverberator, among the first commercially viable digital reverbs.",content/library/system/lexicon-224/index.md
lexicon-480l,Lexicon 480L,system,hardware,change,medium,instruments,computation|sound|instruments|space,computation|sound|space,,,"Adds Computation, Sound, Space because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; spatial organization, geometry, environments, distribution, or spatialization.","Lexicon's 1986 reverb processor, an industry standard for studio reverb.",content/library/system/lexicon-480l/index.md
lexicon-prime-time,Lexicon Prime Time Model 93,system,hardware,change,medium,instruments,time|computation|sound|instruments,time|computation|sound,,Signal,"Adds Time, Computation, Sound because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice.","Lexicon's early digital delay unit, designed explicitly for musical effects.",content/library/system/lexicon-prime-time/index.md
lisp,Lisp,system,language,change,high,computation,computation|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","Family of programming languages built around symbolic expressions, dating to 1958.",content/library/system/lisp/index.md
max-software,Max,system,software,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","Visual programming language for music and multimedia, created by Miller Puckette at IRCAM.",content/library/system/max-software/index.md
midi,MIDI,system,protocol,change,high,instruments,computation|instruments|language,computation|language,,Information,"Adds Computation, Language because the record explicitly concerns algorithms, programming, formal processing, or machine computation; signs, symbols, notation, semantics, grammar, codes, or communication systems.","Musical Instrument Digital Interface, the 1983 protocol for communication between electronic instruments.",content/library/system/midi/index.md
midi-polyphonic-expression,MIDI Polyphonic Expression (MPE),system,protocol,change,high,instruments,computation|instruments|language,computation|language,,Information,"Adds Computation, Language because the record explicitly concerns algorithms, programming, formal processing, or machine computation; signs, symbols, notation, semantics, grammar, codes, or communication systems.",An extension convention over MIDI enabling independent per-note expressive control.,content/library/system/midi-polyphonic-expression/index.md
minimoog-model-d,Minimoog Model D,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Moog Music's 1971 compact synthesizer, the archetype for the electronic keyboard.",content/library/system/minimoog-model-d/index.md
moog-modular-synthesizer,Moog Modular Synthesizer,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Robert Moog's original voltage-controlled modular system, distinct from the later compact Minimoog.",content/library/system/moog-modular-synthesizer/index.md
music-v,Music V,system,language,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","Max Mathews's 1968 computer music language, the most widely disseminated of the MUSIC-N series.",content/library/system/music-v/index.md
nonlinear-labs-c15,Nonlinear Labs C15,system,instrument,change,medium,instruments,computation|sound|instruments|feedback,computation|sound|feedback,,,"Adds Computation, Sound, Feedback because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; a recursive return of output or effects into subsequent input or behavior.","Nonlinear Labs' 61-key digital synthesizer, built around a feedback-based physical-modeling engine for expressive, automation-free playing.",content/library/system/nonlinear-labs-c15/index.md
oberheim-sem,Oberheim SEM,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Oberheim's 1974 Synthesizer Expander Module, its first synthesizer voice.",content/library/system/oberheim-sem/index.md
oberheim-xpander,Oberheim Xpander,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Oberheim's extensively programmable rack-mount synthesizer, released 1984.",content/library/system/oberheim-xpander/index.md
open-sound-control,Open Sound Control (OSC),system,protocol,change,high,computation|sound,computation|sound|language,language,,Information,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","A network-based protocol for communication between sound and media applications, developed at CNMAT.",content/library/system/open-sound-control/index.md
openmusic,OpenMusic,system,software,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","IRCAM's visual, Lisp-based computer-aided composition environment.",content/library/system/openmusic/index.md
pepsi-pavilion-sound-modifier-console,Pepsi Pavilion Sound Modifier Console,system,interface,change,medium,sound|space,time|sound|instruments|space,time|instruments,,Signal,"Adds Time, Instruments because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; instrument design, interfaces, controllers, apparatus, or instrumentality.","The playable control surface on the Pepsi Pavilion floor, letting an operator route, modulate, and spatially distribute sound live across the dome's 37 speakers.",content/library/system/pepsi-pavilion-sound-modifier-console/index.md
pepsi-pavilion-sound-system,Pepsi Pavilion Sound System,system,system,change,high,sound|space,sound|instruments|space,instruments,,Signal,"Adds Instruments because the record explicitly concerns instrument design, interfaces, controllers, apparatus, or instrumentality.","The Pepsi Pavilion's 37-channel, dome-mounted sound-processing and spatial-distribution system, designed by David Tudor with Gordon Mumma and Fred Waldhauer.",content/library/system/pepsi-pavilion-sound-system/index.md
ppg-wave-2,PPG Wave 2,system,instrument,change,medium,instruments,computation|sound|instruments|memory,computation|sound|memory,,,"Adds Computation, Sound, Memory because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; storage, recording, retention, recall, or past state affecting future behavior.","PPG's 1981 wavetable synthesizer, combining analog signal paths with digital oscillators.",content/library/system/ppg-wave-2/index.md
ppg-waveterm,PPG Waveterm,system,hardware,change,medium,computation|sound|instruments,computation|sound|instruments|memory,memory,,,"Adds Memory because the record explicitly concerns storage, recording, retention, recall, or past state affecting future behavior.","Wolfgang Palm's 1982 companion computer for the PPG Wave series, for waveform drawing, sampling, and digital editing.",content/library/system/ppg-waveterm/index.md
project-cybersyn,Project Cybersyn,system,system,change,medium,cybernetics|computation,time|cybernetics|computation|feedback,time|feedback,,Information,"Adds Time, Feedback because the record explicitly concerns temporal structure, duration, rhythm, sequence, or recurrence; a recursive return of output or effects into subsequent input or behavior.","Stafford Beer's real-time cybernetic system for managing the Chilean economy, built for Salvador Allende's government, 1971–73.",content/library/system/project-cybersyn/index.md
pure-data,Pure Data,system,software,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","Open-source visual programming language for music, Miller Puckette's successor to Max.",content/library/system/pure-data/index.md
python-language,Python,system,language,change,high,computation,computation|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","General-purpose programming language, first released 1991.",content/library/system/python-language/index.md
rca-mark-ii-sound-synthesizer,RCA Mark II Sound Synthesizer,system,instrument,change,high,sound|number,computation|sound|instruments,computation|instruments,number,,"The numerical association is incidental or inherited; the record does not substantially concern quantity, ratio, measurement, mathematics, or numerical representation.","The first programmable electronic synthesizer, installed at Columbia-Princeton in 1957-59.",content/library/system/rca-mark-ii-sound-synthesizer/index.md
roland-d50,Roland D-50,system,instrument,change,medium,instruments,computation|sound|instruments|memory,computation|sound|memory,,,"Adds Computation, Sound, Memory because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; storage, recording, retention, recall, or past state affecting future behavior.","Roland's 1987 digital synthesizer, combining sampled attack transients with synthesized tones.",content/library/system/roland-d50/index.md
roland-jupiter-8,Roland Jupiter-8,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Roland's 1981 eight-voice programmable analog synthesizer.,content/library/system/roland-jupiter-8/index.md
roland-system-100,Roland System 100,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Roland's 1975 semi-modular synthesizer system.,content/library/system/roland-system-100/index.md
roland-system-100m,Roland System 100M,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Roland's fully modular expansion of the System 100 concept.,content/library/system/roland-system-100m/index.md
roland-system-700,Roland System 700,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Roland's 1976 professional modular synthesizer, its most expensive instrument.",content/library/system/roland-system-700/index.md
sail-language,SAIL,system,language,change,high,computation,computation|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","Stanford Artificial Intelligence Language, used at CCRMA for computer music programming including Chowning's Stria.",content/library/system/sail-language/index.md
serge-modular-synthesizer,Serge Modular Synthesizer,system,instrument,change,high,instruments,sound|instruments,sound,,,"Adds Sound because the record explicitly concerns sonic phenomena, audio material, synthesis, recording, or listening practice.","Serge Tcherepnin's low-cost, flexible modular synthesizer, developed at CalArts from 1972.",content/library/system/serge-modular-synthesizer/index.md
supercollider,SuperCollider,system,software,change,high,computation|sound,computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.",Audio synthesis and algorithmic composition language created by James McCartney in 1996.,content/library/system/supercollider/index.md
synclavier-ii,Synclavier II,system,instrument,change,high,instruments,computation|sound|instruments,computation|sound,,,"Adds Computation, Sound because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice.","New England Digital's digital synthesis and sampling system, first shipped 1978.",content/library/system/synclavier-ii/index.md
synclavier-regen,Synclavier Regen,system,instrument,change,medium,instruments,computation|sound|instruments|memory,computation|sound|memory,,,"Adds Computation, Sound, Memory because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; storage, recording, retention, recall, or past state affecting future behavior.","Synclavier Digital's 2022 desktop synthesizer, an enhanced Synclavier II engine spanning additive, subtractive, FM, and sample-based synthesis.",content/library/system/synclavier-regen/index.md
synton-fenix-i,Synton Fénix,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","A 1997 analog modular synthesizer, informally 'Fénix I' once its successor arrived — the first product to carry the Synton name after the company's 1989 bankruptcy.",content/library/system/synton-fenix-i/index.md
synton-fenix-ii,Synton Fénix II,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","An expanded modular synthesizer following the original Fénix, with an accompanying Fénix III sequencer, produced around 2010.",content/library/system/synton-fenix-ii/index.md
synton-syrinx,Synton Syrinx,system,instrument,retain,high,instruments,instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Synton's 1983 monophonic analog synthesizer with a touch-plate interface, produced in only 75 units.",content/library/system/synton-syrinx/index.md
tonto,TONTO (The Original New Timbral Orchestra),system,instrument,retain,high,sound|instruments,sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","A vast multitimbral analog modular synthesizer built by Malcolm Cecil and Robert Margouleff, best known for shaping Stevie Wonder's classic-period albums.",content/library/system/tonto/index.md
upic,UPIC,system,instrument,change,medium,sound|computation|form,form|computation|sound|language,language,,,"Adds Language because the record explicitly concerns signs, symbols, notation, semantics, grammar, codes, or communication systems.","Xenakis's graphic composition system, translating tablet drawings directly into sound.",content/library/system/upic/index.md
waldorf-microwave-xt,Waldorf Microwave XT,system,instrument,change,medium,instruments,computation|sound|instruments|memory,computation|sound|memory,,,"Adds Computation, Sound, Memory because the record explicitly concerns algorithms, programming, formal processing, or machine computation; sonic phenomena, audio material, synthesis, recording, or listening practice; storage, recording, retention, recall, or past state affecting future behavior.","Waldorf's wavetable synthesizer, reviving the PPG Wave lineage with an extensive knob-per-function interface.",content/library/system/waldorf-microwave-xt/index.md
yamaha-dx1,Yamaha DX1,system,instrument,retain,high,computation|sound|instruments,computation|sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Yamaha's 1984 FM flagship above the DX7 — a doubled six-operator engine in a handmade rosewood cabinet with polyphonic aftertouch.,content/library/system/yamaha-dx1/index.md
yamaha-dx7,Yamaha DX7,system,instrument,retain,high,computation|sound|instruments,computation|sound|instruments,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",The 1983 FM synthesizer that made digital synthesis commercially dominant and became the best-selling synthesizer of all time.,content/library/system/yamaha-dx7/index.md
nineteen-eighty-four,1984,work,book,retain,high,memory|language,memory|language,,,Information,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.",Orwell's dystopia — included for its treatment of language as an instrument of control.,content/library/work/nineteen-eighty-four/index.md
20-jazz-funk-greats,20 Jazz Funk Greats,work,album,retain,high,sound,sound,,,,"No change. The current Subjects match the concerns explicitly stated in the title, summary, body, and entry type without relying on incidental association.","Throbbing Gristle's 1979 album, its cover parodying easy-listening compilations while the music undercuts the joke.",content/library/work/20-jazz-funk-greats/index.md
62-eulengasse,62 Eulengasse,work,album,change,medium,sound|space,sound,,space,,"Space appears to derive from an ambient title, venue name, or stylistic association rather than from spatial organization, an environment, geometry, distribution, or spatialization in the entry.",Self-titled 1995 ambient collaboration between Pete Namlook and Tetsu Inoue.,content/library/work/62-eulengasse/index.md
